"";"name";"PN38705PM"
"135";"Mar.2015";"81.9996299525466"
"136";"Apr.2015";"82.3198438304482"
"137";"May.2015";"82.7844285692493"
"138";"Jun.2015";"83.0595554554826"
"139";"Jul.2015";"83.4339766262131"
"140";"Aug.2015";"83.7487113799077"
"141";"Sep.2015";"83.771774250334"
"142";"Oct.2015";"83.8913998281912"
"143";"Nov.2015";"84.1800464238952"
"144";"Dec.2015";"84.5552549887266"
"145";"Jan.2016";"84.8702404031536"
"146";"Feb.2016";"85.0179920593596"
"147";"Mar.2016";"85.5265000574541"
"148";"Apr.2016";"85.5362556898337"
"149";"May.2016";"85.7155086648867"
"150";"Jun.2016";"85.8350891099251"
"151";"Jul.2016";"85.9052567561972"
"152";"Aug.2016";"86.213043138844"
"153";"Sep.2016";"86.3910421158843"
"154";"Oct.2016";"86.7481433937979"
"155";"Nov.2016";"86.9997685797355"
"156";"Dec.2016";"87.2905176704464"
"157";"Jan.2017";"87.4981321088573"
"158";"Feb.2017";"87.7809010228465"
"159";"Mar.2017";"88.9260539521744"
"160";"Apr.2017";"88.6965771763182"
"161";"May.2017";"88.3210908710632"
"162";"Jun.2017";"88.1804847816058"
"163";"Jul.2017";"88.3553341822423"
"164";"Aug.2017";"88.9492813838017"
"165";"Sep.2017";"88.9352541037068"
"166";"Oct.2017";"88.5179296753887"
"167";"Nov.2017";"88.3433392676972"
"168";"Dec.2017";"88.4819074367963"
"169";"Jan.2018";"88.594648523903"
"170";"Feb.2018";"88.8163305147703"
"171";"Mar.2018";"89.2489764935573"
"172";"Apr.2018";"89.1266401691656"
"173";"May.2018";"89.1430886514034"
"174";"Jun.2018";"89.440878461853"
"175";"Jul.2018";"89.7832456102935"
"176";"Aug.2018";"89.9015505324364"
"177";"Sep.2018";"90.0738752726222"
"178";"Oct.2018";"90.1474507938922"
"179";"Nov.2018";"90.2578255325897"
"180";"Dec.2018";"90.4218937443323"
"181";"Jan.2019";"90.4809684380851"
"182";"Feb.2019";"90.595663429072"
"183";"Mar.2019";"91.2547942250017"
"184";"Apr.2019";"91.4373773077339"
"185";"May.2019";"91.5723515157514"
"186";"Jun.2019";"91.493350335306"
"187";"Jul.2019";"91.6793898976101"
"188";"Aug.2019";"91.7352934900762"
"189";"Sep.2019";"91.7411489525572"
"190";"Oct.2019";"91.8427297350918"
"191";"Nov.2019";"91.9427558656052"
"192";"Dec.2019";"92.1399925330876"
"193";"Jan.2020";"92.1895712817569"
"194";"Feb.2020";"92.3206390707161"
"195";"Mar.2020";"92.9170303880033"
"196";"Apr.2020";"93.0142055130683"
"197";"May.2020";"93.204097335048"
"198";"Jun.2020";"92.9560841633195"
"199";"Jul.2020";"93.3861811793687"
"200";"Aug.2020";"93.2832332195989"
"201";"Sep.2020";"93.4104286127018"
"202";"Oct.2020";"93.4260987274024"
"203";"Nov.2020";"93.9123624949692"
"204";"Dec.2020";"93.9581285619732"
"205";"Jan.2021";"94.6561451002628"
"206";"Feb.2021";"94.5375735473133"
"207";"Mar.2021";"95.3311869507106"
"208";"Apr.2021";"95.2313830125361"
"209";"May.2021";"95.4852294275117"
"210";"Jun.2021";"95.9814390796482"
"211";"Jul.2021";"96.948489573628"
"212";"Aug.2021";"97.9033694822447"
"213";"Sep.2021";"98.2953966184284"
"214";"Oct.2021";"98.8691125131803"
"215";"Nov.2021";"99.2232454403164"
"216";"Dec.2021";"100"
"217";"Jan.2022";"100.037268"
"218";"Feb.2022";"100.34884"
"219";"Mar.2022";"101.836672"
"220";"Apr.2022";"102.816232"
"221";"May.2022";"103.211072"
"222";"Jun.2022";"104.439931"
"223";"Jul.2022";"105.422597"
"224";"Aug.2022";"106.125283"
"225";"Sep.2022";"106.679849"
"226";"Oct.2022";"107.050724"
"227";"Nov.2022";"107.604861"
"228";"Dec.2022";"108.459162"
"229";"Jan.2023";"108.704764"
"230";"Feb.2023";"109.024924"
"231";"Mar.2023";"110.391537"
"232";"Apr.2023";"111.005592"
